#KIC_ID,TMASS_ID,J_APOGEE,ERROR_J_APOGEE,H_APOGEE,ERROR_H_APOGEE,K_APOGEE,ERROR_K_APOGEE,RA_GAIA,DEC_GAIA,TEFF_APOGEE,ERROR_TEFF_APOGEE,M_H_BASTA,ERROR_M_H_APOGEE,LOGG_APOGEE,ERROR_LOGG_APOGEE,PARALLAX_GAIA,ERROR_PARALLAX_GAIA_x,EVO_BASTA,pmra,pmra_error,pmdec,pmdec_error,ERROR_PARALLAX_GAIA_y,radial_velocity,radial_velocity_error,FeH,X,Y,Z,age,age_errp,age_errm,massfin,massfin_errp,massfin_errm,radPhot,radPhot_errp,radPhot_errm
10733897,19314334+4805497,10.194000244140623,0.020999999716877937,9.626999855041504,0.017999999225139618,9.498000144958496,0.016000000759959214,292.93057491877465,48.09710576957666,4488.0908203125,61.73225402832031,0.21755829453468328,0.024041960015892986,2.45465087890625,0.049682673066854484,0.728224374964688,0.021852373186402683,"solar,rgb",-0.9967461853517476,0.037563253850272184,-15.477811482072275,0.04217123134599438,0.021852373186402683,-78.91601885813816,0.4333460430356209,0.15,-8310.831395289975,-230.9242693972776,20.072575162214086,15500.0,3100.0,4500.0,0.9706153232581641,0.09182977855875696,0.04811050650526372,9.173730752860235,0.18022933057960344,0.1727403836325987
6781023,19314358+4214390,11.314000129699707,0.019999999552965164,10.748000144958496,0.017999999225139618,10.626999855041504,0.017999999225139618,292.9315364126671,42.24416400200972,4780.267578125,75.6007080078125,-0.07967211306095122,0.03195313364267348,2.86210560798645,0.057063303887844086,0.6334844345811811,0.019843357121232585,"solar,rgb",-4.906429104165541,0.03359238455659578,-2.3277172636022767,0.03386075562624948,0.019843357121232585,10.574766882366012,1.9904781171872583,-0.08,-8310.653533837274,-230.74353616558903,20.050723790903056,12300.0,4100.0,3500.0,0.9766154955105608,0.09204951032059083,0.07313332832458641,5.988657296984176,0.11893952582197898,0.11502962133889395
6952140,19314396+4229003,8.762999534606934,0.023000000044703484,8.038000106811522,0.016000000759959214,7.888999938964844,0.026000000536441803,292.93315096172785,42.48342441889804,4281.419921875,54.75661849975586,0.001983484253287316,0.0234058890491724,1.7734285593032837,0.05136370658874512,0.6097602884723464,0.02305265267520222,"solar,rgb",-4.952373467468108,0.041401195983301116,-3.2575982022676606,0.04538803497483234,0.02305265267520222,-8.676022034679201,0.25838039162460164,0.0,-8310.643936939232,-230.68430225209812,20.06543963573961,5600.0,2000.0,1500.0,1.2325915948148696,0.11415040195289695,0.09998887962029834,23.55246436165115,0.5626760162155406,0.5389598821983839
3348134,19314453+3824456,10.28600025177002,0.020999999716877937,9.723999977111816,0.01899999938905239,9.618000030517578,0.017999999225139618,292.93556613392064,38.412686222637795,4871.00732421875,78.38214111328125,-0.0921083837747574,0.03440406545996666,2.4648571014404297,0.0438435934484005,0.5366863941604905,0.022875280154916883,"flash,clump,agb",1.967903041574235,0.03884194761526688,1.828424966410192,0.04281585638200537,0.022875280154916883,-29.887444788121826,0.5567867598367092,-0.08,-8310.472070609032,-230.49599292033105,20.048664403758988,4000.0,1600.0,1000.0,1.3341033346056348,0.12873105591253894,0.12218449142594155,10.986744217575133,0.3476117798946756,0.3478399184839169
10863834,19314474+4815170,11.293999671936035,0.020999999716877937,10.765000343322754,0.017999999225139618,10.689000129699707,0.017000000923871994,292.9364941337924,48.254733800851405,4826.95361328125,76.48949432373047,-0.15612640976905826,0.03484971076250076,2.814607858657837,0.058493074029684074,0.4689080501262424,0.02316332048257328,"solar,rgb",2.991676362143985,0.039689632715051985,0.6538270398668609,0.04356473867820628,0.02316332048257328,-14.828706620255847,1.2590335359229308,-0.15,-8310.71250366688,-230.1963108320997,20.25331960151539,3600.0,1400.0,900.0,1.3416373908653534,0.12044550552907117,0.12411346525201016,7.786977658704168,0.21494132295558102,0.2132283736084144
9091772,19314485+4525053,10.076000213623047,0.019999999552965164,9.618000030517578,0.017000000923871994,9.515000343322754,0.02199999988079071,292.9369029055278,45.41811923020114,5078.66943359375,88.42939758300781,0.031263478100299835,0.03550345450639725,2.7158515453338623,0.04548051580786705,0.7901164303067979,0.024200621844971376,"flash,clump,agb",0.6967957518314052,0.044460326621201085,-6.175649745053543,0.04257663324330648,0.024200621844971376,-1.281235766735398,0.6455754697824772,0.06,-8310.795750456073,-231.0316306139653,20.02185453470555,1300.0,100.0,0.0,1.9549140925083268,0.016801870360018567,0.01346683670795912,8.18964450062238,0.09746125383332503,0.07749595413501531
9833561,19314523+4641589,10.723999977111816,0.020999999716877937,10.059000015258787,0.01899999938905239,9.911999702453613,0.014999999664723871,292.93844233891707,46.69968280337732,4394.54541015625,58.11203002929688,0.29792073369026184,0.0210978239774704,2.347683906555176,0.04660668969154358,0.2677412176280828,0.03260145322085175,"solar,rgb",-3.2717824994631868,0.05838942417667541,-8.259280446221666,0.06381277911567881,0.03260145322085175,-36.64867230851832,0.33469217094890724,0.3,-8310.362885044391,-228.6669510656065,20.58823983471121,1300.0,300.0,350.0,2.0262339472451454,0.21811385016177945,0.1348214134711576,17.855415524909436,1.0009730205589484,0.8714568947654229
7204026,19314653+4246022,10.645000457763672,0.020999999716877937,10.062000274658203,0.017000000923871994,9.940999984741213,0.014999999664723871,292.94391292310866,42.76726378345471,4690.09033203125,69.79022216796875,0.13569538295269012,0.02735001035034656,2.824976921081543,0.05149692296981812,0.8022811290872877,0.024212466911563073,"solar,rgb",-2.4363272718004083,0.039728876550355056,-4.529040144251449,0.043343110241906985,0.024212466911563073,-1.3881834325699138,1.6245698527632653,0.15,-8310.748369921357,-231.05669398379246,19.992334662721415,10000.0,3700.0,2700.0,1.0806247664646755,0.09748172095225316,0.08615260339196629,6.582694782018166,0.1256282119285519,0.12019071785802192
6288543,19314672+4138277,10.737000465393066,0.020999999716877937,10.239999771118164,0.01899999938905239,10.125,0.017000000923871994,292.94469098019766,41.641045268259006,4879.04052734375,83.71257019042969,-0.28199052810668945,0.038669746369123466,2.428745746612549,0.049577727913856506,0.4013742541731337,0.02140672301392243,"flash,clump,agb",-1.089372332367592,0.03731883861298535,1.211915143251419,0.043053357027706206,0.02140672301392243,-38.75877119382741,0.6737318287451791,-0.3,-8310.397785860252,-229.88204331657542,20.2125563879574,3800.0,1800.0,1100.0,1.3024869308488416,0.1467157824166181,0.13602683554403214,11.577381800101868,0.3757558968628736,0.37007155286003796
6525919,19314687+4158536,11.829999923706055,0.019999999552965164,11.161999702453613,0.01899999938905239,11.008999824523926,0.017999999225139618,292.9452975116565,41.981573644967405,4507.900390625,72.82318878173828,-0.5837846994400024,0.0358290858566761,1.9038898944854736,0.07415398955345154,0.11993075974742415,0.017223770387627596,"solar,rgb,flash,clump,agb",-2.6547760879807925,0.032646423981048306,-4.112034544721571,0.03397659864108686,0.017223770387627596,,,-0.6,-8308.896638447008,-224.34087559739743,21.32012122476245,2500.0,1400.0,900.0,1.3926032311442118,0.2122617888815068,0.17961443988382195,24.250542370631447,1.5855492711497658,1.5049253996686431
